subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
104,1,1,0.0882,0.7865,-0.2331,0.2331,0.335,-0.0803,0.0803,0.1934,-0.1123,0.1123,0.3567,-0.0762,0.0762,3.161,-0.1094,0.1094,0.4919,-0.0954,0.0954,0.1724,-0.0953,0.0953,5.8699,-0.0949,0.0949,0.2275,-0.0955,0.0955,-40.3132,-42.3979,42.3979
104,1,2,0.0951,1.1843,-0.1118,0.1118,0.3715,-0.1269,0.1269,1.2733,-0.0865,0.0865,0.7642,-0.0893,0.0893,0.3951,-0.1162,0.1162,0.5955,-0.097,0.097,2.5331,-0.083,0.083,0.5451,-0.0793,0.0793,3.0465,-0.1687,0.1687,1.2065,-0.1106,0.1106
104,1,3,0.08,0.5701,-0.1256,0.1256,0.29,-0.1049,0.1049,0.1608,-0.1202,0.1202,0.3492,-0.0961,0.0961,0.7413,-0.1159,0.1159,0.5237,-0.0637,0.0637,0.1804,-0.1048,0.1048,3.3101,-0.0973,0.0973,0.2404,-0.0961,0.0961,0.6919,-0.0874,0.0874
104,1,4,0.1238,0.4577,-0.1167,0.1167,0.1745,-0.0875,0.0875,0.1326,-0.1445,0.1445,0.3984,-0.0929,0.0929,0.6458,-0.1261,0.1261,0.4619,-0.0844,0.0844,0.1345,-0.1351,0.1351,0.37,-0.0965,0.0965,0.2291,-0.0957,0.0957,0.9162,-0.1518,0.1518
104,1,5,0.1178,0.3125,-0.1035,0.1035,0.2074,-0.093,0.093,0.1109,-0.1284,0.1284,0.2772,-0.0984,0.0984,0.4905,-0.1201,0.1201,0.4427,-0.0956,0.0956,0.2689,-0.0949,0.0949,0.5943,-0.0797,0.0797,0.1958,-0.0776,0.0776,0.2954,-0.113,0.113
104,1,6,0.1192,0.3255,-0.1125,0.1125,0.2168,-0.0968,0.0968,0.1108,-0.1043,0.1043,0.3751,-0.0904,0.0904,0.4258,-0.1188,0.1188,0.3973,-0.0722,0.0722,0.264,-0.109,0.109,0.3764,-0.0603,0.0603,0.1888,-0.0599,0.0599,0.2522,-0.1169,0.1169
104,1,7,0.1249,0.3464,-0.0982,0.0982,0.1622,-0.0746,0.0746,0.1161,-0.1228,0.1228,0.3054,-0.0922,0.0922,0.4982,-0.118,0.118,0.3985,-0.0948,0.0948,0.1553,-0.1326,0.1326,0.3905,-0.1075,0.1075,0.1919,-0.0979,0.0979,0.2677,-0.123,0.123
104,1,8,0.1182,0.306,-0.0964,0.0964,0.5079,-0.1146,0.1146,0.1616,-0.1006,0.1006,0.3116,-0.0942,0.0942,0.4482,-0.1049,0.1049,0.4733,-0.0822,0.0822,0.1449,-0.1266,0.1266,0.2746,-0.079,0.079,0.1927,-0.0756,0.0756,0.2818,-0.1054,0.1054
104,1,9,0.1123,0.3201,-0.104,0.104,0.168,-0.0895,0.0895,0.0963,-0.1254,0.1254,1.3352,-0.1017,0.1017,0.3566,-0.1334,0.1334,0.3026,-0.0875,0.0875,0.138,-0.0997,0.0997,0.3205,-0.0981,0.0981,0.3213,-0.1018,0.1018,0.2388,-0.0875,0.0875
104,1,10,0.1322,0.7751,-0.1279,0.1279,0.2395,-0.0529,0.0529,0.0944,-0.1113,0.1113,1.0077,-0.1103,0.1103,0.4699,-0.1242,0.1242,0.4003,-0.0881,0.0881,0.1847,-0.133,0.133,0.3824,-0.0798,0.0798,0.2049,-0.0801,0.0801,0.2976,-0.1109,0.1109
