subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
105,1,1,0.1279,1.5836,-0.1731,0.1731,0.5914,-0.0946,0.0946,0.5852,-0.1521,0.1521,1.0111,-0.1276,0.1276,1.5807,-0.0915,0.0915,0.6758,-0.0852,0.0852,0.5191,-0.1349,0.1349,1.4367,-0.0921,0.0921,0.6452,-0.1291,0.1291,2.5218,-0.1275,0.1275
105,1,2,0.1053,1.3237,-0.1125,0.1125,0.1667,-0.102,0.102,0.369,-0.1395,0.1395,0.5074,-0.0838,0.0838,2.5486,-0.1021,0.1021,1.0916,-0.0955,0.0955,0.5519,-0.1654,0.1654,1.9665,-0.1278,0.1278,0.5761,-0.1137,0.1137,1.6714,-0.1189,0.1189
105,1,3,0.0899,1.0717,-0.1122,0.1122,0.2572,-0.0913,0.0913,0.2479,-0.1123,0.1123,0.6207,-0.1016,0.1016,-21.9486,-22.556,22.556,0.6194,-0.1487,0.1487,0.4282,-0.1507,0.1507,0.8865,-0.0724,0.0724,0.9163,-0.0956,0.0956,2.27,-0.1673,0.1673
105,1,4,0.0811,1.1854,-0.1148,0.1148,0.2883,-0.0982,0.0982,0.2866,-0.1293,0.1293,0.6945,-0.0948,0.0948,0.6326,-0.0947,0.0947,0.6601,-0.0994,0.0994,0.7753,-0.1409,0.1409,0.3385,-0.0831,0.0831,0.3509,-0.0957,0.0957,0.7643,-0.1129,0.1129
105,1,5,0.1311,1.5245,-0.1337,0.1337,0.1651,-0.136,0.136,0.32,-0.1331,0.1331,0.4306,-0.0941,0.0941,-19.4581,-20.17,20.17,1.4148,-0.1134,0.1134,0.3457,-0.1734,0.1734,0.3851,-0.0891,0.0891,0.311,-0.0796,0.0796,1.6275,-0.1215,0.1215
105,1,6,0.095,1.1026,-0.0907,0.0907,0.3857,-0.1017,0.1017,0.3817,-0.123,0.123,0.9325,-0.1074,0.1074,-15.193,-16.41,16.41,1.4015,-0.0966,0.0966,0.1734,-0.1609,0.1609,0.2336,-0.0874,0.0874,0.2671,-0.0873,0.0873,7.9038,-0.098,0.098
105,1,7,0.082,0.9079,-0.1258,0.1258,0.2389,-0.0897,0.0897,0.2652,-0.1082,0.1082,0.4378,-0.1027,0.1027,1.185,-0.1538,0.1538,1.8622,-0.1021,0.1021,0.2855,-0.1499,0.1499,0.2359,-0.0887,0.0887,0.2661,-0.0885,0.0885,1.2624,-0.1002,0.1002
105,1,8,0.0841,0.547,-0.0836,0.0836,0.3265,-0.0826,0.0826,0.1695,-0.1295,0.1295,0.3018,-0.0956,0.0956,1.2819,-0.2842,0.2842,1.1711,-0.0877,0.0877,0.1835,-0.1623,0.1623,0.2679,-0.0841,0.0841,0.211,-0.0766,0.0766,1.5809,-0.0899,0.0899
105,1,9,0.0854,0.5152,-0.0733,0.0733,0.368,-0.0895,0.0895,0.2089,-0.1078,0.1078,0.3931,-0.0958,0.0958,1.0768,-0.0901,0.0901,0.6033,-0.0956,0.0956,0.1707,-0.1658,0.1658,0.2024,-0.1286,0.1286,0.2678,-0.0893,0.0893,1.9903,-0.0957,0.0957
105,1,10,0.0874,0.3505,-0.1168,0.1168,0.228,-0.0929,0.0929,0.2155,-0.1118,0.1118,0.3764,-0.0892,0.0892,0.5092,-0.097,0.097,0.5437,-0.0841,0.0841,0.1238,-0.1569,0.1569,0.2274,-0.0937,0.0937,0.2598,-0.0865,0.0865,0.7304,-0.1116,0.1116
105,1,11,0.1022,0.9783,-0.1107,0.1107,0.2089,-0.0784,0.0784,0.4402,-0.1417,0.1417,1.0363,-0.0943,0.0943,-44.3487,-44.9269,44.9269,0.5749,-0.0946,0.0946,0.205,-0.1733,0.1733,0.2196,-0.1103,0.1103,0.3153,-0.1097,0.1097,0.9466,-0.0839,0.0839
105,1,12,0.099,0.8164,-0.1052,0.1052,0.2442,-0.1103,0.1103,0.3144,-0.1106,0.1106,0.3938,-0.0953,0.0953,-10.1715,-11.0275,11.0275,1.1689,-0.163,0.163,0.4231,-0.1698,0.1698,1.023,-0.1405,0.1405,0.7636,-0.1657,0.1657,1.0124,-0.1713,0.1713
105,1,13,0.1307,0.9817,-0.1109,0.1109,0.6562,-0.1233,0.1233,0.5932,-0.1474,0.1474,0.8699,-0.1169,0.1169,1.2703,-0.0954,0.0954,0.7896,-0.09,0.09,1.7117,-0.1299,0.1299,1.0097,-0.0954,0.0954,0.6779,-0.1018,0.1018,1.2661,-0.1009,0.1009
105,1,14,0.0856,1.58,-0.0951,0.0951,0.434,-0.0895,0.0895,0.2226,-0.1193,0.1193,0.3566,-0.0941,0.0941,0.4683,-0.094,0.094,0.5316,-0.0956,0.0956,0.1865,-0.1704,0.1704,0.2055,-0.0843,0.0843,0.2704,-0.0876,0.0876,0.4489,-0.1292,0.1292
105,1,15,0.1057,0.4891,-0.0679,0.0679,0.3453,-0.1498,0.1498,0.2522,-0.1405,0.1405,0.8021,-0.0904,0.0904,0.5095,-0.0966,0.0966,0.5608,-0.0948,0.0948,0.129,-0.1774,0.1774,0.1927,-0.0907,0.0907,0.2551,-0.0791,0.0791,0.3152,-0.096,0.096
105,1,16,0.0996,0.4077,-0.0896,0.0896,0.3219,-0.0909,0.0909,0.1669,-0.1329,0.1329,0.4282,-0.094,0.094,0.4965,-0.088,0.088,0.4951,-0.0841,0.0841,0.1357,-0.1669,0.1669,0.2354,-0.0992,0.0992,0.2711,-0.0704,0.0704,0.5589,-0.1183,0.1183
105,1,17,0.08,0.476,-0.0841,0.0841,0.4523,-0.0894,0.0894,0.2162,-0.1224,0.1224,0.4081,-0.0951,0.0951,0.7747,-0.1024,0.1024,0.6168,-0.0889,0.0889,0.1484,-0.1563,0.1563,0.1672,-0.0831,0.0831,0.2446,-0.0863,0.0863,0.7125,-0.0619,0.0619
105,1,18,0.0937,0.4715,-0.0912,0.0912,0.3256,-0.0901,0.0901,0.1545,-0.1268,0.1268,0.4391,-0.0999,0.0999,-5.716,-6.3225,6.3225,0.5141,-0.1251,0.1251,0.4519,-0.1813,0.1813,0.233,-0.1244,0.1244,1.0907,-0.0889,0.0889,1.3909,-0.1001,0.1001
105,1,19,0.0797,0.657,-0.0889,0.0889,0.3781,-0.0886,0.0886,0.2365,-0.157,0.157,0.3521,-0.1009,0.1009,-4.2166,-4.8547,4.8547,0.6447,-0.1002,0.1002,0.3604,-0.1346,0.1346,0.3093,-0.0849,0.0849,0.2894,-0.0885,0.0885,1.1344,-0.103,0.103
105,2,1,0.1036,1.2485,-0.1362,0.1362,0.4328,-0.097,0.097,0.5607,-0.1417,0.1417,0.5825,-0.0936,0.0936,1.0795,-0.1119,0.1119,1.599,-0.1109,0.1109,0.3361,-0.1349,0.1349,0.3422,-0.104,0.104,0.7844,-0.1826,0.1826,2.2709,-0.1111,0.1111
105,2,2,0.0801,1.0464,-0.0974,0.0974,0.2566,-0.0956,0.0956,0.336,-0.0963,0.0963,0.4611,-0.1054,0.1054,0.9429,-0.087,0.087,0.7362,-0.0851,0.0851,0.2779,-0.1421,0.1421,0.3685,-0.0759,0.0759,0.3393,-0.0953,0.0953,0.557,-0.0944,0.0944
105,2,3,0.0765,0.722,-0.1219,0.1219,0.3527,-0.0879,0.0879,0.279,-0.1438,0.1438,0.4516,-0.1022,0.1022,0.8986,-0.0738,0.0738,0.687,-0.1019,0.1019,0.2466,-0.1436,0.1436,0.2405,-0.0885,0.0885,0.4149,-0.0932,0.0932,0.7792,-0.0924,0.0924
105,2,4,0.1092,0.5057,-0.1319,0.1319,0.2772,-0.1023,0.1023,0.335,-0.1274,0.1274,0.8463,-0.0953,0.0953,0.5376,-0.0889,0.0889,0.686,-0.09,0.09,0.2231,-0.1504,0.1504,0.282,-0.0841,0.0841,0.3816,-0.0957,0.0957,0.5412,-0.0815,0.0815
105,2,5,0.0906,0.5315,-0.1203,0.1203,0.3043,-0.1118,0.1118,0.2877,-0.1588,0.1588,0.5253,-0.0944,0.0944,0.5869,-0.0945,0.0945,0.7105,-0.0871,0.0871,0.3437,-0.1265,0.1265,0.2751,-0.0875,0.0875,0.6059,-0.0801,0.0801,0.5762,-0.0799,0.0799
105,2,6,0.089,0.447,-0.1026,0.1026,0.2419,-0.074,0.074,0.4067,-0.1502,0.1502,0.4734,-0.1113,0.1113,-6.3953,-7.4171,7.4171,0.654,-0.0957,0.0957,0.3195,-0.1509,0.1509,0.2337,-0.085,0.085,0.3728,-0.1426,0.1426,1.2456,-0.0992,0.0992
105,2,7,0.0763,0.4785,-0.1109,0.1109,0.2619,-0.0906,0.0906,0.2259,-0.0922,0.0922,0.5092,-0.0936,0.0936,-4.8888,-5.481,5.481,0.672,-0.1035,0.1035,0.2056,-0.1656,0.1656,0.2026,-0.0827,0.0827,0.3273,-0.0953,0.0953,0.9715,-0.0966,0.0966
105,2,8,0.0889,0.5429,-0.1283,0.1283,0.3189,-0.0881,0.0881,0.3439,-0.1123,0.1123,0.444,-0.0956,0.0956,-4.5769,-5.2668,5.2668,1.2445,-0.0938,0.0938,0.2763,-0.141,0.141,0.2571,-0.0647,0.0647,0.3448,-0.079,0.079,0.383,-0.0885,0.0885
105,2,9,0.1069,0.3909,-0.1112,0.1112,0.2298,-0.0903,0.0903,0.2695,-0.0945,0.0945,0.6279,-0.0879,0.0879,0.6438,-0.1285,0.1285,0.8433,-0.0893,0.0893,0.3089,-0.1906,0.1906,0.2333,-0.1175,0.1175,1.0577,-0.1103,0.1103,0.9645,-0.1132,0.1132
105,2,10,0.0751,0.7055,-0.1005,0.1005,0.207,-0.1053,0.1053,0.2957,-0.1415,0.1415,0.5416,-0.0859,0.0859,0.6994,-0.0963,0.0963,0.7812,-0.0791,0.0791,0.1944,-0.1439,0.1439,0.2967,-0.0747,0.0747,0.2873,-0.0963,0.0963,0.5987,-0.0958,0.0958
105,2,11,0.1177,0.3302,-0.1111,0.1111,0.3005,-0.0921,0.0921,0.2296,-0.0983,0.0983,0.5016,-0.1074,0.1074,0.5969,-0.0879,0.0879,0.7606,-0.0868,0.0868,0.1645,-0.1742,0.1742,0.2285,-0.0951,0.0951,0.4057,-0.1052,0.1052,1.3711,-0.107,0.107
105,2,12,0.091,0.3665,-0.0995,0.0995,0.3605,-0.0886,0.0886,0.4027,-0.1505,0.1505,0.4383,-0.096,0.096,0.6267,-0.0793,0.0793,0.8195,-0.0781,0.0781,0.2367,-0.1452,0.1452,0.2191,-0.0746,0.0746,0.3444,-0.1272,0.1272,0.8748,-0.1086,0.1086
