User_ID,Session_ID,Key_Pressed,Key_Pressed_Previous,Press_Time,Release_Time,Hold_Time,DD,UD,Characters_Count
Zenia19k,1,Key.enter,,1737374066.655711,1737374066.655711,0.0,,,1
Zenia19k,1,Key.backspace,Key.enter,1737374069.959633,1737374070.0118375,0.05220437049865723,3.303922176361084,,2
Zenia19k,1,Key.backspace,Key.backspace,1737374070.1453924,1737374070.2200692,0.0746767520904541,0.1857593059539795,0.13355493545532227,3
Zenia19k,1,Key.enter,Key.backspace,1737374066.655711,1737374071.5077527,4.852041721343994,-3.4896814823150635,-3.5643582344055176,4
Zenia19k,1,/,Key.enter,1737374072.7190208,1737374072.7860234,0.06700253486633301,6.063309907913208,,5
Zenia19k,1,Key.backspace,/,1737374073.607773,1737374073.7192929,0.11151981353759766,0.8887522220611572,0.8217496871948242,6
Zenia19k,1,.,Key.backspace,1737374074.4417963,1737374074.5970302,0.15523386001586914,0.8340232372283936,0.7225034236907959,7
Zenia19k,1,t,.,1737374075.875943,1737374076.0153995,0.13945651054382324,1.4341466426849365,1.2789127826690674,8
Zenia19k,1,i,t,1737374080.1986828,1737374080.2885213,0.08983850479125977,4.322739839553833,4.18328332901001,9
Zenia19k,1,e,i,1737374080.7112763,1737374080.8612664,0.14999008178710938,0.5125935077667236,0.42275500297546387,10
Zenia19k,1,R,e,1737374082.0964377,1737374082.1912918,0.09485411643981934,1.3851613998413086,1.2351713180541992,11
Zenia19k,1,Key.shift,R,1737374081.930885,1737374082.2141593,0.28327417373657227,-0.16555261611938477,-0.2604067325592041,12
Zenia19k,1,o,Key.shift,1737374082.600125,1737374082.7010005,0.1008753776550293,0.6692399978637695,0.38596582412719727,13
Zenia19k,1,a,o,1737374083.0965905,1737374083.2368734,0.14028286933898926,0.49646544456481934,0.39559006690979004,14
Zenia19k,1,Key.enter,a,1737374087.8929174,1737374087.9893088,0.09639143943786621,4.7963268756866455,4.656044006347656,15
Zenia19k,1,.,Key.enter,1737374090.3928332,1737374090.5206833,0.12785005569458008,2.499915838241577,,16
Zenia19k,1,t,.,1737374091.9764423,1737374092.149538,0.173095703125,1.5836091041564941,1.455759048461914,17
Zenia19k,1,i,t,1737374092.5678484,1737374092.6624057,0.09455728530883789,0.5914061069488525,0.41831040382385254,18
Zenia19k,1,e,i,1737374093.1530218,1737374093.3051684,0.152146577835083,0.5851733684539795,0.4906160831451416,19
Zenia19k,1,5,e,1737374094.1640966,1737374094.2916849,0.12758827209472656,1.0110747814178467,0.8589282035827637,20
Zenia19k,1,R,5,1737374095.7448027,1737374095.8363326,0.09152984619140625,1.5807061195373535,1.453117847442627,21
Zenia19k,1,Key.shift,R,1737374095.5902476,1737374095.8643594,0.2741117477416992,-0.154555082321167,-0.24608492851257324,22
Zenia19k,1,o,Key.shift,1737374096.2660046,1737374096.3511922,0.08518767356872559,0.6757569313049316,0.4016451835632324,23
Zenia19k,1,a,o,1737374096.7851331,1737374096.9200718,0.13493871688842773,0.5191285610198975,0.4339408874511719,24
Zenia19k,1,n,a,1737374098.2218826,1737374098.3139968,0.09211421012878418,1.4367494583129883,1.3018107414245605,25
Zenia19k,1,l,n,1737374098.8671267,1737374098.9961889,0.12906217575073242,0.6452441215515137,0.5531299114227295,26
Zenia19k,1,Key.enter,l,1737374101.3889692,1737374101.5164502,0.12748098373413086,2.5218424797058105,2.392780303955078,27
Zenia19k,1,.,Key.enter,1737374102.1708124,1737374102.3055286,0.13471627235412598,0.7818431854248047,,28
Zenia19k,1,t,.,1737374105.0449927,1737374105.1505833,0.1055905818939209,2.874180316925049,2.739464044570923,29
